text,sentiment
Very happy with this,positive
Hate this app,negative
It works fine,neutral
Absolutely fantastic,positive
Disappointing,negative
It is okay,neutral
Great service,positive
Very bad service,negative
It is okay,neutral
Very happy with this,positive
Very bad service,negative
It is okay,neutral
Great service,positive
Hate this app,negative
It works fine,neutral
Great service,positive
Disappointing,negative
Average experience,neutral
Very happy with this,positive
Disappointing,negative
Not bad,neutral
Absolutely fantastic,positive
Hate this app,negative
Nothing special,neutral
Very happy with this,positive
Not satisfied,negative
Can be improved,neutral
Great service,positive
Hate this app,negative
It works fine,neutral
Superb quality,positive
Hate this app,negative
Not bad,neutral
Superb quality,positive
Very bad service,negative
It works fine,neutral
Very happy with this,positive
Terrible performance,negative
Average experience,neutral
Amazing experience,positive
Very bad service,negative
Can be improved,neutral
Amazing experience,positive
Hate this app,negative
It is okay,neutral
Superb quality,positive
Very bad service,negative
Not bad,neutral
Absolutely fantastic,positive
Not satisfied,negative
Not bad,neutral
Absolutely fantastic,positive
Disappointing,negative
Can be improved,neutral
Very happy with this,positive
Terrible performance,negative
Average experience,neutral
Amazing experience,positive
Terrible performance,negative
It is okay,neutral
Amazing experience,positive
Hate this app,negative
Can be improved,neutral
I love this product,positive
Hate this app,negative
Not bad,neutral
Amazing experience,positive
Worst experience ever,negative
It works fine,neutral
Absolutely fantastic,positive
Not satisfied,negative
Not bad,neutral
Absolutely fantastic,positive
Worst experience ever,negative
Can be improved,neutral
Absolutely fantastic,positive
Hate this app,negative
It is okay,neutral
Amazing experience,positive
Disappointing,negative
Can be improved,neutral
Absolutely fantastic,positive
Not satisfied,negative
Not bad,neutral
Very happy with this,positive
Terrible performance,negative
It is okay,neutral
Great service,positive
Not satisfied,negative
It is okay,neutral
Absolutely fantastic,positive
Terrible performance,negative
It works fine,neutral
I love this product,positive
Worst experience ever,negative
It is okay,neutral
I love this product,positive
Not satisfied,negative
Nothing special,neutral
Great service,positive
Not satisfied,negative
Not bad,neutral
Great service,positive
Not satisfied,negative
It is okay,neutral
Absolutely fantastic,positive
Very bad service,negative
Nothing special,neutral
Superb quality,positive
Worst experience ever,negative
Nothing special,neutral
Absolutely fantastic,positive
Disappointing,negative
Can be improved,neutral
I love this product,positive
Disappointing,negative
Nothing special,neutral
Amazing experience,positive
Not satisfied,negative
Nothing special,neutral
Superb quality,positive
Not satisfied,negative
Not bad,neutral
Superb quality,positive
Worst experience ever,negative
Nothing special,neutral
Amazing experience,positive
Very bad service,negative
Nothing special,neutral
Absolutely fantastic,positive
Terrible performance,negative
Not bad,neutral
I love this product,positive
Worst experience ever,negative
It is okay,neutral
Amazing experience,positive
Not satisfied,negative
It is okay,neutral
Great service,positive
Disappointing,negative
Average experience,neutral
Absolutely fantastic,positive
Not satisfied,negative
Nothing special,neutral
Absolutely fantastic,positive
Not satisfied,negative
It works fine,neutral
Amazing experience,positive
Terrible performance,negative
Nothing special,neutral
Absolutely fantastic,positive
Hate this app,negative
It works fine,neutral
I love this product,positive
Hate this app,negative
It works fine,neutral
Absolutely fantastic,positive
Very bad service,negative
Average experience,neutral
Amazing experience,positive
Disappointing,negative
It is okay,neutral
Very happy with this,positive
Not satisfied,negative
It works fine,neutral
I love this product,positive
Very bad service,negative
Average experience,neutral
Superb quality,positive
Disappointing,negative
It is okay,neutral
Amazing experience,positive
Worst experience ever,negative
Not bad,neutral
Superb quality,positive
Worst experience ever,negative
Nothing special,neutral
Superb quality,positive
Worst experience ever,negative
It works fine,neutral
Superb quality,positive
Disappointing,negative
Not bad,neutral
Absolutely fantastic,positive
Hate this app,negative
It works fine,neutral
Superb quality,positive
Terrible performance,negative
It is okay,neutral
Absolutely fantastic,positive
Terrible performance,negative
Can be improved,neutral
Superb quality,positive
Not satisfied,negative
Can be improved,neutral
Very happy with this,positive
Very bad service,negative
It works fine,neutral
Absolutely fantastic,positive
Not satisfied,negative
